"ID","LIMIT_BAL","SEX_male","EDUCATION_gradSch","EDUCATION_university","EDUCATION_highSch","MARRIAGE_married","MARRIAGE_single","AGE","PAY_0_unknown0","PAY_0_unknown2","PAY_0_payDuly","PAY_0_value","PAY_2_unknown0","PAY_2_unknown2","PAY_2_payDuly","PAY_2_value","PAY_3_unknown0","PAY_3_unknown2","PAY_3_payDuly","PAY_3_value","PAY_4_unknown0","PAY_4_unknown2","PAY_4_payDuly","PAY_4_value","PAY_5_unknown0","PAY_5_unknown2","PAY_5_payDuly","PAY_5_value","PAY_6_unknown0","PAY_6_unknown2","PAY_6_payDuly","PAY_6_value","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","DEFAULT"
1,20000,0,0,1,0,1,0,24,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,3913,3102,689,0,0,0,0,689,0,0,0,0,1
3,90000,0,0,1,0,0,1,34,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0
6,50000,1,1,0,0,0,1,37,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0
8,100000,0,0,1,0,0,1,23,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0
12,260000,0,1,0,0,0,1,51,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0
24,450000,0,1,0,0,1,0,40,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1
25,90000,1,1,0,0,0,1,23,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,0
29,50000,0,0,0,1,1,0,47,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0
34,500000,0,0,1,0,1,0,54,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0
35,500000,1,1,0,0,1,0,58,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0
40,280000,1,1,0,0,0,1,31,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0
48,150000,0,0,0,0,0,1,46,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1
53,310000,0,0,1,0,1,0,49,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0
59,200000,0,1,0,0,0,1,34,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,0
